code,name,acronym,system,language,headquarters,jurisdiction,website,schools,students,staff,director,chair,trustees,focus
EC-24,Thunder Bay Catholic District School Board,TBCDSB,English Catholic,English,"459 Victoria Avenue West, Thunder Bay, ON P7C 1H1",City of Thunder Bay,https://www.tbcschools.ca,20,7800,1100,JP Gracroce,Tony Romeo,6,"St. Ignatius & St. Patrick high schools, advanced tech design, strong Indigenous student graduation initiatives."
EC-25,Toronto Catholic District School Board,TCDSB,English Catholic,English,"80 Sheppard Avenue East, Toronto (North York), ON M2N 6E8",City of Toronto,https://www.tcdsb.org,195,90000,14000,Dr. Brendan Browne,Nancy Crawford,12,"Cardinal Carter Academy for the Arts, St. Michael's Choir School, extensive AP/IB, high cultural diversity."
EC-26,Waterloo Catholic District School Board,WCDSB,English Catholic,English,"35 Weber Street West, Kitchener, ON N2H 3Z1","Regional Municipality of Waterloo (Kitchener, Waterloo, Cambridge)",https://www.wcdsb.ca,50,25100,3400,Tyrone Dowling,Robert Sikora,9,"Advanced STEM, robotics, St. Don Bosco alternative education, strong cooperative education with tech sector."
EC-27,Wellington Catholic District School Board,WCDSB,English Catholic,English,"255 Speedvale Avenue West, Guelph, ON N1H 1C5","City of Guelph and Wellington County (Fergus, Elora, Mount Forest)",https://www.wellingtoncdsb.ca,22,8700,1200,Michael Glazier,Marino Gazzola,5,"International Baccalaureate at Bishop Macdonell, environmental stewardship, inclusive education."
EC-28,Windsor-Essex Catholic District School Board,WECDSB,English Catholic,English,"1325 California Avenue, Windsor, ON N9B 3Y6",City of Windsor & Essex County,https://www.wecdsb.on.ca,43,21500,2800,Emelda Byrne,Fulvio Valentinis,9,"Catholic Central urban academy, STEM academies, sports excellence academies, aerospace/manufacturing SHSMs."
EC-29,York Catholic District School Board,YCDSB,English Catholic,English,"320 Bloomington Road West, Aurora, ON L4G 0M1","Regional Municipality of York (Vaughan, Markham, Richmond Hill, Newmarket)",https://www.ycdsb.ca,101,50500,6200,Domenic Scuglia,Frank Alexander,10,"St. Robert & Father Michael McGivney IB programs, French Immersion, Catholic leadership and social outreach."
FP-01,Conseil des écoles publiques de l'Est de l'Ontario,CEPEO,French Public,French,"2445 boulevard Saint-Laurent, Ottawa, ON K1G 6C3","Eastern Ontario & National Capital (Ottawa, Kingston, Trenton, Cornwall, Pembroke)",https://www.cepeo.on.ca,44,17500,2500,Christian-Charle Bouchard,Samia Ouled Ali,12,"International Baccalaureate in French, eco-citizenship, sports-études academies, inclusive secular Francophonie."
FP-02,Conseil scolaire Viamonde,CSV,French Public,French,"116 Cornelius Parkway, Toronto, ON M6L 2K5","Central-Southwestern Ontario (Toronto, Peel, York, Durham, Halton, Waterloo, Niagara, Windsor)",https://www.csviamonde.ca,57,14000,2200,Sébastien Fontaine,Geneviève Oger,12,"Secular Francophone identity, high academic standards, STEM and creative arts in French across 15,000 km²."
FP-03,Conseil scolaire public du Grand Nord de l'Ontario,CSPGNO,French Public,French,"296 rue Van Horne, Sudbury, ON P3B 1H9","Northeastern & Northwestern Ontario (Sudbury, Sault Ste. Marie, Thunder Bay, Marathon)",https://www.grandnord.ca,16,3400,600,Sébastien Fontaine (acting/coord),Anne-Marie Gélineault,8,"Eco-schools, technological innovation, vibrant Franco-Ontarian cultural identity, individualized student pathways."
FP-04,Conseil scolaire public du Nord-Est de l'Ontario,CSPNE,French Public,French,"820 avenue Lakeshore, North Bay, ON P1A 2G8","Northeastern Ontario (North Bay, Timmins, Kapuskasing, Hearst, Temiskaming)",https://www.cspne.ca,14,2300,450,Yves Laliberté,Denis Labelle,8,"Community engagement, cultural transmission, digital distance education, northern skilled trades in French."
FC-01,Conseil des écoles catholiques du Centre-Est,CECCE,French Catholic,French,"4000 rue Labelle, Ottawa, ON K1J 1A1","Ottawa, Kingston, Brockville, Trenton, Pembroke",https://www.ecolecatholique.ca,60,26000,3600,Marc Bertrand,Johanne Lacombe,11,"Largest Francophone board outside Quebec, Académie d'apprentissage virtuel, high EQAO outcomes, Catholic Francophone values."
FC-02,Conseil scolaire de district catholique de l'Est ontarien,CSDCEO,French Catholic,French,"875 chemin de comté 17, L'Orignal, ON K0B 1K0","Prescott-Russell & Stormont-Dundas-Glengarry (Hawkesbury, Rockland, Casselman)",https://www.csdceo.ca,39,10500,1600,Lyne Racine,Jean-Lemay,8,"Heartland of Franco-Ontarian history, 100% French Catholic immersion, agricultural-environmental excellence."
FC-03,Conseil scolaire catholique MonAvenir,Csc MonAvenir,French Catholic,French,"110 avenue Drewry, Toronto (North York), ON M2M 1C8","Greater Golden Horseshoe (Toronto, York, Peel, Halton, Hamilton, Niagara, Simcoe, Peterborough)",https://www.cscmonavenir.ca,62,17800,2700,Nicole Mitté,Geneviève Grenier,12,"Faith & culture integration, high-tech learning environments, extensive international student body."
FC-04,Conseil scolaire catholique Providence,Csc Providence,French Catholic,French,"7515 promenade Forest Glade, Windsor, ON N8T 3P5","Southwestern Ontario (Windsor-Essex, Chatham-Kent, London-Middlesex, Sarnia-Lambton)",https://www.cscprovidence.ca,31,10200,1600,Joseph Picard,Doris Sauvé,9,"Dual diploma / IB in French, agri-food & health science SHSMs, Catholic parish synergy in southwestern Ontario."
FC-05,Conseil scolaire catholique Franco-Nord,CSCFN,French Catholic,French,"681 rue Chippewa Ouest, North Bay, ON P1B 6G8","Nipissing District & surrounding areas (North Bay, West Nipissing, Mattawa)",https://www.franco-nord.ca,14,2900,500,Serge Levac,Diane Corriveau,7,"Strong cultural transmission, small caring school environments, digital arts and robotics in French."
FC-06,Conseil scolaire catholique du Nouvel-Ontario (CSC Nouvelon),CSC Nouvelon,French Catholic,French,"201 rue Jogues, Sudbury, ON P3C 5L7","Greater Sudbury, Espanola, Manitoulin, Sault Ste. Marie, Chapleau",https://www.nouvelon.ca,37,6400,1100,Paul Henry,Suzanne Salituri,12,"Vital Franco-Ontarian cultural institution, innovative trades and environmental science, high academic standards."
FC-07,Conseil scolaire catholique de district des Grandes Rivières,CSCDGR,French Catholic,French,"896 promenade Riverside, Timmins, ON P4N 3W2","Cochrane & Timiskaming Districts (Timmins, Kapuskasing, Hearst, Cochrane)",https://www.cscdgr.education,30,5800,950,Sylvie Petroski,Langis Dion,9,"Northern leadership, mining/forestry technical training in French, community Catholic heritage."
FC-08,Conseil scolaire catholique des Aurores boréales,CSCDAB,French Catholic,French,"175 rue High Nord, Thunder Bay, ON P7A 8C7","Northwestern Ontario (Thunder Bay, Marathon, Geraldton, Longlac, Nipigon, Red Lake)",https://www.csdcab.on.ca,9,950,180,Mireille Major-Lebrun,Sylvie Payeur,6,"Individualized student mentoring, remote digital networking, vibrant French cultural preservation in the Northwest."
